mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-20808,Nd3PbC,5,Nd3 Pb1 C1,5.88866,5.88866,5.88866,90,90,90,cubic,Pm-3m,0.0284195,-3.882244376,1.566906596,1.909572291,FALSE,5.301577179,0,FALSE,204.1970385,,
mp-1094101,Nd3PbN,5,Nd3 Pb1 N1,5.02007322,5.02007322,5.02007322,90,90,90,cubic,Pm-3m,0.0001266,-31.79683073,-1.063248388,0,TRUE,8.583254653,0,FALSE,126.5115436,,
mp-19778,Nd3PbN,5,Nd3 Pb1 N1,5.898391,5.898391,5.898391,90,90,90,cubic,Pm-3m,0.0001245,-29.58935753,1.144224818,2.207473206,FALSE,5.291532619,0,FALSE,205.2110179,,
mp-20423,Nd3SnC,5,Nd3 Sn1 C1,5.819249,5.819249,5.819249,90,90,90,cubic,Pm-3m,0.0008627,-4.090808924,1.417727005,1.840612416,FALSE,4.747895102,0,FALSE,197.0610633,,
mp-1094085,Nd3SnN,5,Nd3 Sn1 N1,5.00002241,5.00002241,5.00002241,90,90,90,cubic,Pm-3m,3.29E-05,-6.352271716,-1.021813337,0,TRUE,7.511416547,0,FALSE,125.0016808,,
mp-22350,Nd3SnN,5,Nd3 Sn1 N1,5.83455,5.83455,5.83455,90,90,90,cubic,Pm-3m,0.0193352,-4.214031552,1.116426828,2.138240164,FALSE,4.727326529,0,FALSE,198.6195977,,
mp-21854,Nd3TlC,5,Nd3 Tl1 C1,5.825617,5.825617,5.825617,90,90,90,cubic,Pm-3m,0.0001193,-3.573891944,1.607024037,1.830708546,FALSE,5.451905269,0,FALSE,197.7087029,,
mp-22496,Nd3TlN,5,Nd3 Tl1 N1,5.833587,5.833587,5.833587,90,90,90,cubic,Pm-3m,0.7499801,-3.730637422,1.27220101,2.054115963,FALSE,5.446285797,0,FALSE,198.5212666,,
mp-1069375,NdAl3Cu,5,Nd1 Al3 Cu1,6.083480915,6.083480915,6.083480915,139.4664584,139.4664584,58.66430855,tet,I4mm,0,-12.6107715,-0.518551503,0,TRUE,5.089551753,0,FALSE,94.20314628,,
mp-14254,NdAlO3,10,Nd1 Al1 O3,5.282518443,5.282518675,5.282517606,60.0001515,60.00015077,60.00014408,cubic,Pm-3m,1.00E-07,-8.31650052,-3.644979264,0.027490917,FALSE,6.984787973,2.8636,FALSE,104.234019,,
mp-5899,NdAlO3,10,Nd1 Al1 O3,5.285252518,5.285251644,5.285252471,60.57397474,60.57397828,60.57397833,trig,R-3c,0,-8.343991437,-3.672470181,0,TRUE,6.884713762,4.354,FALSE,105.7491346,,
mp-13514,NdBO3,20,Nd1 B1 O3,6.29114009,6.584614101,6.572748449,93.73771251,108.4466441,108.2737855,tri,P-1,0,-8.7238332,-3.465548756,0.001357567,FALSE,5.5930214,5.0694,FALSE,241.1393957,,
mp-7238,NdBO3,20,Nd1 B1 O3,5.0493033,5.72881457,8.09798399,90,90,90,ortho,Pnma,0,-8.725190766,-3.466906322,0,TRUE,5.757600291,4.6987,TRUE,234.2465146,,
mp-10120,NdBPd3,5,Nd1 B1 Pd3,4.383158,4.383158,4.383158,90,90,90,cubic,Pm-3m,0.0001234,-5.955176358,-0.557739431,0.111334662,FALSE,9.353039049,0,FALSE,84.20955608,"{'voigt': 134.869, 'reuss': 134.869, 'vrh': 134.869}","{'voigt': 10.367, 'reuss': -25.971, 'vrh': -7.802}"
mp-11597,NdBPt3,5,Nd1 B1 Pt3,4.02110246,4.02110246,5.08640514,90,90,90,tet,P4mm,1.00E-07,-6.799303336,-0.867115503,0,TRUE,14.94715548,0,FALSE,82.24343257,,
mp-3591,NdBRh3,5,Nd1 B1 Rh3,4.23316728,4.2331642,4.23312733,90,90,90,cubic,Pm-3m,0.727495,-7.404379794,-0.696287231,0,TRUE,10.15218221,0,FALSE,75.85633872,"{'voigt': 174.728, 'reuss': 174.728, 'vrh': 174.728}","{'voigt': 77.258, 'reuss': 72.735, 'vrh': 74.997}"
mp-1188683,NdBS3,20,Nd1 B1 S3,6.01172313,7.59857487,8.92959887,90,90,90,ortho,Pna2_1,0,-6.318623375,-1.546099794,0.000999158,FALSE,4.091180437,2.3963,FALSE,407.9087939,,
mp-975579,NdBeO3,5,Nd1 Be1 O3,3.660158,3.660158,3.660158,90,90,90,cubic,Pm-3m,0.9998389,-7.540602378,-2.870313715,0.26662336,FALSE,6.815388657,0,FALSE,49.03424579,,
mp-974740,NdBiO3,5,Nd1 Bi1 O3,4.435676,4.435676,4.435676,90,90,90,cubic,Pm-3m,3.62E-05,-6.5858118,-1.885398848,0.82623843,FALSE,7.634012602,0,FALSE,87.27290814,"{'voigt': 116.027, 'reuss': 116.027, 'vrh': 116.027}","{'voigt': 38.052, 'reuss': 7.143, 'vrh': 22.598}"
mp-14625,NdCoGe3,5,Nd1 Co1 Ge3,5.771051856,5.771051856,5.771051856,136.3454173,136.3454173,63.44676443,tet,I4mm,3.70E-06,-5.716365034,-0.562235491,0,TRUE,7.734612565,0,FALSE,90.40466037,"{'voigt': 92.979, 'reuss': 92.939, 'vrh': 92.959}","{'voigt': 53.348, 'reuss': 52.965, 'vrh': 53.156}"
mp-20031,NdCoO3,5,Nd1 Co1 O3,3.801945,3.801945,3.801945,90,90,90,cubic,Pm-3m,0.0042463,-7.791900062,-2.442810628,0.078158744,FALSE,7.589361562,0.7914,FALSE,54.95630053,,
mp-22599,NdCoO3,20,Nd1 Co1 O3,5.3544196,5.36020413,7.57320125,90,90,90.00021186,ortho,Pnma,2.00E-07,-7.870058806,-2.520969372,0,TRUE,7.675549837,0,FALSE,217.3567985,,
mp-570956,NdCoSb3,40,Nd1 Co1 Sb3,6.202553,12.147865,12.756951,90,90,90,ortho,Pbcm,0.0020208,-24.59606703,-0.641829573,0.010133488,FALSE,7.856298859,0,FALSE,961.2078928,,
mp-1069204,NdCoSi3,5,Nd1 Co1 Si3,5.602440721,5.602440721,5.602440721,136.9054184,136.9054184,62.58360701,tet,I4mm,0,-14.40829368,-0.613586899,0,TRUE,5.887004648,0,FALSE,81.07545129,,
mp-13008,NdCrGe3,10,Nd1 Cr1 Ge3,6.165282144,6.165282144,5.750085,90,90,120.0000015,hex_,P6_3/mmc,2.8131339,-17.62464431,-0.403187484,0.035463481,FALSE,7.266653481,0,FALSE,189.2826475,"{'voigt': 594966112372.431, 'reuss': -79692237.173, 'vrh': 297443210067.629}","{'voigt': 357006773956.235, 'reuss': 117.217, 'vrh': 178503387036.726}"
mp-19062,NdCrO3,5,Nd1 Cr1 O3,3.90191,3.90191,3.90191,90,90,90,cubic,Pm-3m,3.0000201,-8.851744172,-2.998728589,0.14311416,FALSE,6.826963263,1.904,FALSE,59.40619599,,
mp-19269,NdCrO3,20,Nd1 Cr1 O3,5.42096311,5.53422111,7.71471539,90,90,89.99997866,ortho,Pnma,11.9999999,-8.994858332,-3.141842748,0,TRUE,7.00916742,2.54,TRUE,231.4476989,,
mp-15931,NdCrS3,20,Nd1 Cr1 S3,3.78190129,7.81500959,13.05412393,90,90,90,ortho,Pnma,11.9982644,-7.051867254,-1.684612532,0,TRUE,5.034405358,0,FALSE,385.822398,,
mp-1209908,NdCrSb3,20,Nd1 Cr1 Sb3,6.25507165,6.19324407,13.16302585,90,90,90,ortho,Pbcm,11.5374418,-24.91045425,-0.588394533,0.012437006,FALSE,7.31419661,0,FALSE,509.9248989,,
